name,id
Ocean Contractors Nova Scotia Men's Curling Championship (Men),9222
Italian National Qualifier (Men),9621
Nunavut Mens Curling Championship (Men),9405
Yukon Mens Curling Championship (Men),9404
Norwegian National Curling Championships (Men),9370
Brandon Berth Bonspiel (Men),9362
PEI Men's Curling Championship (Men),9223
Swedish Junior Championship (Men),9432
Ed Werenich Golden Wrench Classic presented by The Lodge Sasquatch Kitchen (Men),9140
Canada West Championships (Men),9368
Mercure Perth Masters (Men),9195
St. Galler Elite Challenge (Men),9218
Atlantic University Championships (Men),9231
Northwest Territories Men's Championship (Men),9250
Newfoundland & Labrador Tankard (Men),9382
Duluth Cash Spiel (Men),9302
Sun City Cup (Men),9165
Wendys U20 Provincial Championship (Men),9444
New Brunswick Tankard (Men),9365
Kanto Playdown (Men),9631
Swedish Eliteserien (Men),9420
Bunge Manitoba Men's Championship (Men),9366
Curling Stadium Martensville International (Men),8948
Winter Olympics - Men (Men),9051
Winter Olympics - Men (Men),9051
Hokkaido Curling Championships (Men),9624
Chubu Curling Championships (Men),9481
Co-ops of Manitoba Junior Mens Provincial Championship (Men),9439
Tournoi Hommes Circuit Provincial (Men),9437
TBayTel Major League of Curling (Men),9300
USPORT Curling Canada University Championships (Men),9427
CCAA / Curling Canada College Championships (Men),9426
Montana's Brier (Men),9314
USA Curling National Championships (Men),9415
World Junior Curling Championships (Men),9229
"U20 Alberta Provincial Championship, presented by Hec Gervais Academic & Scholarship Foundation (Men)",9456
Saskatchewan U20 Junior Provincial Championships (Men),9457
Hardie Engineering Scottish Curling Championships (Men),9453
Swiss Curling Championships (Men),9451
Balai de Cuivre ActionKia (Men),9459
Ontario U20 Junior Championship (Men),9442
Montana's Brier (Men),9314
Tournoi du 150e (Men),9390
Finnish Curling Championships Division 1 (Men),9402
Finnish Curling Championships Division 1 (Men),9402
Finnish Curling Championships (Men),9401
Finnish Curling Championships (Men),9401
Danish National Championships (Men),9421
Karuizawa International (Men),9048
Swedish National Series - North (Men),9429
Swedish National Series - Central (Men),9430
Swedish National Series - South (Men),9431
Czechia National Mens Championship (Men),9447
Aberdeen International Curling Championship (Men),9369
Japan Junior Nationals (Men),9619
Czechia National Mens Championship (Men),9447
Tohoku Curling Championships (Men),9617
LGT World Men's Curling Championship (Men),8945
USA Curling Junior National Curling Championships (Men),9483
New Holland Canadian Under-20 Championship (Men),9485
Swedish Curling Championships (Men),9505
LGT World Men's Curling Championship (Men),8945
Estonian Curling Championships (Men),9487
USA Curling Junior National Curling Championships (Men),9483
New Holland Canadian Under-20 Championship (Men),9485
Soo Curlers Major League presented by CINTAS (Men),9313
British Open (Men),9311
Italian National Championship (Men),9699
Uiseong Governor's Cup (Men),9581
World Championship Pre-Qualifier (Pan Contintental) (Men),9578
World Senior Curling Championships (Men),9253
U25 NextGen Classic (Men),9449
Uiseong Governor's Cup (Men),9581
World Senior Curling Championships (Men),9253
U25 NextGen Classic (Men),9449
World Championship Pre-Qualifier (Europe) (Men),9579
World Championship Pre-Qualifier (Europe) (Men),9579
